time,recovered lower
0.0,0.0
0.005,-0.13807118745769836
0.01,-0.13807118745769836
0.015,-0.13807118745769836
0.02,-0.13807118745769836
0.025,-0.13807118745769836
0.03,-0.13807118745769836
0.035,-0.13807118745769836
0.04,-0.13807118745769836
0.045,-0.13807118745769836
0.05,0.19526214587563495
0.055,0.19526214587563495
0.06,0.19526214587563495
0.065,0.19526214587563495
0.07,0.19526214587563495
0.075,0.19526214587563495
0.08,0.19526214587563495
0.085,0.19526214587563495
0.09,0.18350341907227397
0.095,0.18350341907227397
0.1,0.18350341907227397
0.105,0.18350341907227397
0.11,0.3905242917512699
0.115,0.3905242917512699
0.12,0.3905242917512699
0.125,0.3905242917512699
0.13,0.3905242917512699
0.135,0.3905242917512699
0.14,0.3905242917512699
0.145,1.1952621458756352
0.15,1.1952621458756352
0.155,1.1952621458756352
0.16,1.1952621458756352
0.165,1.1952621458756352
0.17,1.1952621458756352
0.175,1.1952621458756352
0.18,1.1952621458756352
0.185,1.183503419072274
0.19,1.183503419072274
0.195,1.183503419072274
0.2,1.183503419072274
0.205,1.183503419072274
0.21,1.183503419072274
0.215,1.183503419072274
0.22,1.183503419072274
0.225,1.183503419072274
0.23,1.8619288125423017
0.235,1.8619288125423017
0.24,2.1952621458756347
0.245,2.1952621458756347
0.25,2.1952621458756347
0.255,2.1952621458756347
0.26,3.0
0.265,3.0
0.27,3.0
0.275,3.0
0.28,3.0
0.285,3.0
0.29,3.0
0.295,3.0
0.3,3.0
0.305,3.0
0.31,3.0
0.315,3.0
0.32,3.0
0.325,3.0
0.33,3.0
0.335,3.0
0.34,3.0
0.345,3.0
0.35,3.0
0.355,3.0
0.36,3.0
0.365,3.0
0.37,3.0
0.375,3.0
0.38,3.0
0.385,3.0
0.39,3.0
0.395,3.0
0.4,3.0
0.405,3.0
0.41,3.0
0.415,3.0
0.42,3.0
0.425,3.0
0.43,3.0
0.435,3.0
0.44,3.0
0.445,3.0
0.45,3.0
0.455,3.0
0.46,3.0
0.465,3.0
0.47,3.0
0.475,3.0
0.48,3.0
0.485,3.0
0.49,3.0
0.495,3.0
0.5,3.0
0.505,2.8619288125423017
0.51,2.8619288125423017
0.515,2.8619288125423017
0.52,2.8619288125423017
0.525,2.8619288125423017
0.53,2.8619288125423017
0.535,2.8619288125423017
0.54,2.8619288125423017
0.545,2.8619288125423017
0.55,2.8619288125423017
0.555,2.8619288125423017
0.56,2.8619288125423017
0.565,2.8619288125423017
0.57,2.8619288125423017
0.575,2.8619288125423017
0.58,2.8619288125423017
0.585,2.8619288125423017
0.59,2.8619288125423017
0.595,2.8619288125423017
0.6,2.8619288125423017
0.605,2.8619288125423017
0.61,2.8619288125423017
0.615,2.8619288125423017
0.62,2.8619288125423017
0.625,2.8619288125423017
0.63,2.8619288125423017
0.635,2.8619288125423017
0.64,2.8619288125423017
0.645,2.8619288125423017
0.65,2.8619288125423017
0.655,2.8619288125423017
0.66,2.8619288125423017
0.665,2.8619288125423017
0.67,2.8619288125423017
0.675,2.8619288125423017
0.68,2.8619288125423017
0.685,2.8619288125423017
0.69,2.7238576250846034
0.695,2.7238576250846034
0.7,2.7238576250846034
0.705,2.7238576250846034
0.71,2.7238576250846034
0.715,2.7238576250846034
0.72,2.7238576250846034
0.725,2.7238576250846034
0.73,2.7238576250846034
0.735,2.7238576250846034
0.74,2.7238576250846034
0.745,2.7238576250846034
0.75,2.7238576250846034
0.755,2.7238576250846034
0.76,2.7238576250846034
0.765,2.7238576250846034
0.77,2.7238576250846034
0.775,2.7238576250846034
0.78,2.7238576250846034
0.785,2.7238576250846034
0.79,2.7238576250846034
0.795,2.7238576250846034
0.8,2.7238576250846034
0.805,2.7238576250846034
0.81,2.7238576250846034
0.815,2.7238576250846034
0.82,2.7238576250846034
0.825,2.7238576250846034
0.83,2.7238576250846034
0.835,2.7238576250846034
0.84,2.7238576250846034
0.845,2.7238576250846034
0.85,2.7238576250846034
0.855,2.7238576250846034
0.86,2.7238576250846034
0.865,2.7238576250846034
0.87,2.7238576250846034
0.875,2.7238576250846034
0.88,2.7238576250846034
0.885,2.7238576250846034
0.89,2.7238576250846034
0.895,2.7238576250846034
0.9,3.1835034190722737
0.905,3.1835034190722737
0.91,3.1835034190722737
0.915,3.1835034190722737
0.92,3.1835034190722737
0.925,3.1835034190722737
0.93,3.1835034190722737
0.935,3.1835034190722737
0.94,3.1835034190722737
0.945,3.1835034190722737
0.95,3.1835034190722737
0.955,3.1835034190722737
0.96,3.1835034190722737
0.965,3.1835034190722737
0.97,3.1835034190722737
0.975,3.1835034190722737
0.98,3.1835034190722737
0.985,3.1835034190722737
0.99,3.1835034190722737
0.995,3.1835034190722737
1.0,3.1835034190722737
1.005,3.1835034190722737
1.01,3.1835034190722737
1.015,3.1835034190722737
1.02,3.1835034190722737
1.025,3.1835034190722737
1.03,3.1835034190722737
1.035,3.1835034190722737
1.04,3.1835034190722737
1.045,3.1835034190722737
1.05,3.1835034190722737
1.055,3.1835034190722737
1.06,3.1835034190722737
1.065,3.1835034190722737
1.07,3.1835034190722737
1.075,3.1835034190722737
1.08,3.1835034190722737
1.085,3.1835034190722737
1.09,3.1835034190722737
1.095,3.1835034190722737
1.1,3.1835034190722737
1.105,3.1835034190722737
1.11,3.1835034190722737
1.115,3.1835034190722737
1.12,3.1835034190722737
1.125,3.1835034190722737
1.13,3.1835034190722737
1.135,3.1835034190722737
1.14,3.1835034190722737
1.145,3.1835034190722737
1.15,3.1835034190722737
1.155,3.1835034190722737
1.16,3.1835034190722737
1.165,3.1835034190722737
