time,infected mean
0.0,3.0
0.005,3.0
0.01,3.0309278350515463
0.015,3.051546391752577
0.02,3.0618556701030926
0.025,3.134020618556701
0.03,3.1443298969072164
0.035,3.2268041237113403
0.04,3.247422680412371
0.045,3.2989690721649483
0.05,3.3711340206185567
0.055,3.3917525773195876
0.06,3.463917525773196
0.065,3.515463917525773
0.07,3.5463917525773194
0.075,3.597938144329897
0.08,3.670103092783505
0.085,3.7216494845360826
0.09,3.731958762886598
0.095,3.7938144329896906
0.1,3.783505154639175
0.105,3.7938144329896906
0.11,3.804123711340206
0.115,3.783505154639175
0.12,3.8350515463917527
0.125,3.8762886597938144
0.13,3.8762886597938144
0.135,3.9381443298969074
0.14,4.041237113402062
0.145,4.061855670103093
0.15,4.092783505154639
0.155,4.134020618556701
0.16,4.195876288659794
0.165,4.247422680412371
0.17,4.278350515463917
0.175,4.34020618556701
0.18,4.360824742268041
0.185,4.422680412371134
0.19,4.484536082474227
0.195,4.556701030927835
0.2,4.546391752577319
0.205,4.65979381443299
0.21,4.680412371134021
0.215,4.701030927835052
0.22,4.731958762886598
0.225,4.77319587628866
0.23,4.793814432989691
0.235,4.793814432989691
0.24,4.876288659793815
0.245,4.907216494845361
0.25,4.896907216494846
0.255,4.969072164948454
0.26,4.979381443298969
0.265,5.041237113402062
0.27,5.082474226804123
0.275,5.11340206185567
0.28,5.195876288659794
0.285,5.237113402061856
0.29,5.247422680412371
0.295,5.298969072164948
0.3,5.381443298969073
0.305,5.474226804123711
0.31,5.536082474226804
0.315,5.608247422680412
0.32,5.618556701030927
0.325,5.680412371134021
0.33,5.742268041237113
0.335,5.762886597938144
0.34,5.855670103092783
0.345,5.907216494845361
0.35,5.969072164948454
0.355,6.041237113402062
0.36,6.082474226804123
0.365,6.11340206185567
0.37,6.22680412371134
0.375,6.22680412371134
0.38,6.309278350515464
0.385,6.319587628865979
0.39,6.360824742268041
0.395,6.381443298969073
0.4,6.391752577319588
0.405,6.412371134020619
0.41,6.484536082474227
0.415,6.556701030927835
0.42,6.577319587628866
0.425,6.680412371134021
0.43,6.731958762886598
0.435,6.752577319587629
0.44,6.835051546391752
0.445,6.865979381443299
0.45,6.938144329896907
0.455,7.051546391752577
0.46,7.103092783505154
0.465,7.237113402061856
0.47,7.329896907216495
0.475,7.412371134020619
0.48,7.453608247422681
0.485,7.474226804123711
0.49,7.525773195876289
0.495,7.56701030927835
0.5,7.608247422680412
0.505,7.65979381443299
0.51,7.690721649484536
0.515,7.783505154639175
0.52,7.855670103092783
0.525,7.969072164948454
0.53,8.1340206185567
0.535,8.206185567010309
0.54,8.237113402061855
0.545,8.29896907216495
0.55,8.371134020618557
0.555,8.443298969072165
0.56,8.505154639175258
0.565,8.556701030927835
0.57,8.649484536082474
0.575,8.70103092783505
0.58,8.731958762886597
0.585,8.77319587628866
0.59,8.896907216494846
0.595,9.02061855670103
0.6,9.051546391752577
0.605,9.154639175257731
0.61,9.24742268041237
0.615,9.31958762886598
0.62,9.371134020618557
0.625,9.443298969072165
0.63,9.515463917525773
0.635,9.608247422680412
0.64,9.70103092783505
0.645,9.793814432989691
0.65,9.824742268041238
0.655,9.845360824742269
0.66,9.8659793814433
0.665,9.917525773195877
0.67,9.989690721649485
0.675,10.11340206185567
0.68,10.195876288659793
0.685,10.29896907216495
0.69,10.371134020618557
0.695,10.443298969072165
0.7,10.556701030927835
0.705,10.628865979381443
0.71,10.762886597938145
0.715,10.804123711340207
0.72,11.0
0.725,11.103092783505154
0.73,11.185567010309278
0.735,11.278350515463918
0.74,11.34020618556701
0.745,11.43298969072165
0.75,11.587628865979381
0.755,11.639175257731958
0.76,11.690721649484535
0.765,11.793814432989691
0.77,11.845360824742269
0.775,11.917525773195877
0.78,11.896907216494846
0.785,11.927835051546392
0.79,12.123711340206185
0.795,12.195876288659793
0.8,12.288659793814434
0.805,12.360824742268042
0.81,12.43298969072165
0.815,12.525773195876289
0.82,12.587628865979381
0.825,12.65979381443299
0.83,12.731958762886597
0.835,12.855670103092784
0.84,13.051546391752577
0.845,13.11340206185567
0.85,13.185567010309278
0.855,13.309278350515465
0.86,13.371134020618557
0.865,13.54639175257732
0.87,13.56701030927835
0.875,13.65979381443299
0.88,13.721649484536082
0.885,13.855670103092784
0.89,13.876288659793815
0.895,13.948453608247423
0.9,14.11340206185567
0.905,14.22680412371134
0.91,14.329896907216495
0.915,14.360824742268042
0.92,14.494845360824742
0.925,14.639175257731958
0.93,14.793814432989691
0.935,14.88659793814433
0.94,14.88659793814433
0.945,15.0
0.95,15.030927835051546
0.955,15.195876288659793
0.96,15.24742268041237
0.965,15.329896907216495
0.97,15.371134020618557
0.975,15.422680412371134
0.98,15.556701030927835
0.985,15.597938144329897
0.99,15.65979381443299
0.995,15.670103092783505
1.0,15.75257731958763
1.005,15.896907216494846
1.01,15.917525773195877
1.015,15.97938144329897
1.02,16.051546391752577
1.025,16.1340206185567
1.03,16.216494845360824
1.035,16.371134020618555
1.04,16.49484536082474
1.045,16.52577319587629
1.05,16.649484536082475
1.055,16.7319587628866
1.06,16.77319587628866
1.065,16.90721649484536
1.07,17.010309278350515
1.075,17.164948453608247
1.08,17.175257731958762
1.085,17.237113402061855
1.09,17.38144329896907
1.095,17.52577319587629
1.1,17.587628865979383
1.105,17.690721649484537
1.11,17.75257731958763
1.115,17.88659793814433
1.12,17.896907216494846
1.125,17.927835051546392
1.13,17.95876288659794
1.135,18.051546391752577
1.14,18.15463917525773
1.145,18.175257731958762
1.15,18.288659793814432
1.155,18.288659793814432
1.16,18.391752577319586
1.165,18.536082474226806
1.17,18.577319587628867
1.175,18.68041237113402
1.18,18.835051546391753
1.185,18.97938144329897
1.19,19.061855670103093
1.195,19.144329896907216
1.2,19.38144329896907
1.205,19.443298969072163
1.21,19.463917525773194
1.215,19.567010309278352
1.22,19.608247422680414
1.225,19.711340206185568
1.23,19.814432989690722
1.235,19.917525773195877
1.24,20.051546391752577
1.245,20.175257731958762
1.25,20.216494845360824
1.255,20.22680412371134
1.26,20.371134020618555
1.265,20.443298969072163
1.27,20.52577319587629
1.275,20.608247422680414
1.28,20.762886597938145
1.285,20.896907216494846
1.29,20.969072164948454
1.295,21.0
1.3,21.09278350515464
1.305,21.195876288659793
1.31,21.298969072164947
1.315,21.34020618556701
1.32,21.432989690721648
1.325,21.47422680412371
1.33,21.567010309278352
1.335,21.670103092783506
1.34,21.68041237113402
1.345,21.742268041237114
1.35,21.7319587628866
1.355,21.77319587628866
1.36,21.876288659793815
1.365,21.896907216494846
1.37,21.927835051546392
1.375,21.969072164948454
