time,susceptible upper
0.0,97.0
0.005,97.12148503868134
0.01,97.22783333903696
0.015,97.23467923744607
0.02,97.28420199286171
0.025,97.28097362292885
0.03,97.30353227170376
0.035,97.25938966836078
0.04,97.24325210698699
0.045,97.21423582346813
0.05,97.22163170970688
0.055,97.21370344705842
0.06,97.19998974194812
0.065,97.24069248499919
0.07,97.24505731082994
0.075,97.20037636711267
0.08,97.1953256504438
0.085,97.18671189705069
0.09,97.16196520675975
0.095,97.0977398717224
0.1,97.12463617729578
0.105,97.07127588707976
0.11,97.06665138926874
0.115,97.05921052443689
0.12,97.03717444235548
0.125,97.02779884245047
0.13,97.03159659211288
0.135,96.97468383717779
0.14,96.94968729779283
0.145,96.91445863623531
0.15,96.8640178524019
0.155,96.79669962989273
0.16,96.78601075960465
0.165,96.74172535366785
0.17,96.7370388155155
0.175,96.70360623703176
0.18,96.69636382042664
0.185,96.6367803766292
0.19,96.62971997460802
0.195,96.54642054921953
0.2,96.54782774485795
0.205,96.48418149830925
0.21,96.44871741064512
0.215,96.43280272611241
0.22,96.37911834679149
0.225,96.3008110698062
0.23,96.2578641246536
0.235,96.25846076752825
0.24,96.22554035204945
0.245,96.19761032187621
0.25,96.17132681913156
0.255,96.13849309789218
0.26,96.14275235570356
0.265,96.15323705693865
0.27,96.10672066703452
0.275,96.08766716979
0.28,96.01692163670857
0.285,95.990535602578
0.29,95.9272857267357
0.295,95.929348274727
0.3,95.96071470157071
0.305,95.90530671406846
0.31,95.840049548502
0.315,95.76589500420963
0.32,95.74545546998746
0.325,95.72354794878635
0.33,95.66530253375826
0.335,95.66581910397977
0.34,95.67237438044872
0.345,95.72680003920864
0.35,95.65093141732389
0.355,95.5973760642865
0.36,95.63031395447707
0.365,95.55743288006525
0.37,95.4521769614543
0.375,95.4077057270888
0.38,95.36892419904606
0.385,95.31739062579453
0.39,95.32152010400749
0.395,95.31480014161586
0.4,95.27666958642367
0.405,95.22402323410915
0.41,95.16062054340453
0.415,95.1267591757631
0.42,95.06288099357965
0.425,94.94012637803337
0.43,94.89480962471823
0.435,94.84106519853201
0.44,94.74345531841122
0.445,94.69816320720926
0.45,94.64794180407588
0.455,94.59695372327981
0.46,94.57279887628683
0.465,94.44725829696189
0.47,94.45897995079768
0.475,94.37451658392625
0.48,94.29576432418484
0.485,94.28565190522471
0.49,94.23219359898587
0.495,94.22549184391946
0.5,94.1839573590229
0.505,94.15889639602273
0.51,94.11547952370891
0.515,94.0485983275939
0.52,93.99025342165417
0.525,93.91391506802648
0.53,93.8399233994504
0.535,93.79471774176393
0.54,93.71475425661977
0.545,93.77682040774145
0.55,93.7567136279812
0.555,93.74764016073851
0.56,93.71165619011485
0.565,93.63680851542246
0.57,93.56208730695856
0.575,93.51847879831233
0.58,93.41790767409722
0.585,93.32663837135162
0.59,93.23119479594176
0.595,93.16264564516659
0.6,93.11716732316712
0.605,92.99292301017711
0.61,92.95120331554027
0.615,92.88725690066545
0.62,92.83362448577171
0.625,92.81344772233732
0.63,92.81225543762831
0.635,92.74990996896337
0.64,92.68353484894533
0.645,92.60085534996531
0.65,92.54854332602021
0.655,92.54734318051025
0.66,92.46943269118336
0.665,92.43106457269917
0.67,92.35151071129346
0.675,92.2375689127126
0.68,92.14414721844875
0.685,92.06311662599387
0.69,92.02159958065766
0.695,91.99528931437176
0.7,91.91335678960561
0.705,91.87790164558582
0.71,91.80870087494044
0.715,91.75048454185121
0.72,91.69537368539312
0.725,91.63639265038144
0.73,91.60071750982506
0.735,91.54773722358135
0.74,91.50322569900544
0.745,91.418164540722
0.75,91.3029472044529
0.755,91.27358121377844
0.76,91.21326838744278
0.765,91.13586654804104
0.77,91.17251765403525
0.775,91.10905914956784
0.78,91.10333701467185
0.785,91.01631119000814
0.79,90.90803967694339
0.795,90.83207670666096
0.8,90.76137551462914
0.805,90.73351671508662
0.81,90.63972621118043
0.815,90.55690138563443
0.82,90.48475337137401
0.825,90.36697568849968
0.83,90.2718644358072
0.835,90.15319861714228
0.84,89.98504151177043
0.845,89.92614398523838
0.85,89.85741903868865
0.855,89.82028297941362
0.86,89.72054077099017
0.865,89.62858522144923
0.87,89.52585714728325
0.875,89.38209320946768
0.88,89.27009839760028
0.885,89.26204944828035
0.89,89.20682987557886
0.895,89.12541130006232
0.9,89.02375169386117
0.905,88.92768014408534
0.91,88.8137421378962
0.915,88.74712452846893
0.92,88.67147441757348
0.925,88.61667976534319
0.93,88.48026627219114
0.935,88.36449132434251
0.94,88.29065000883621
0.945,88.12298803572338
0.95,88.08255492534714
0.955,87.89969558857949
0.96,87.82899524477922
0.965,87.71486543845165
0.97,87.64782209833943
0.975,87.65957012025473
0.98,87.55159342743312
0.985,87.51845838675605
0.99,87.38118963230508
0.995,87.31822154211282
1.0,87.24303048722925
1.005,87.01597090055188
1.01,86.95293379956536
1.015,86.86309465230134
1.02,86.82382390268714
1.025,86.74057110515609
1.03,86.72143678020286
1.035,86.65686203104579
1.04,86.58767778825276
1.045,86.49581070974496
1.05,86.31672752362165
1.055,86.25208466737931
1.06,86.06974572029607
1.065,85.91624798556673
1.07,85.76071856534726
1.075,85.65481142869882
1.08,85.5667081072921
1.085,85.44714279980388
1.09,85.3517613905326
1.095,85.17416040909828
1.1,85.11122772240338
1.105,85.00483495947329
1.11,84.91688819881502
1.115,84.7651570900957
1.12,84.68002732002228
1.125,84.54168339922877
1.13,84.48140507220384
1.135,84.38536285001535
1.14,84.28114519448303
1.145,84.16312213464758
1.15,83.9912741832092
1.155,83.8756145432846
1.16,83.74236044676081
1.165,83.65585660209793
1.17,83.54814413647482
1.175,83.3811948328159
1.18,83.19820626763483
1.185,83.07336881331723
1.19,82.95123427136437
1.195,82.84651353429317
1.2,82.64096223740529
1.205,82.48975862118327
1.21,82.32762837307982
1.215,82.29069787991916
1.22,82.09087947793299
1.225,82.04744327472535
1.23,81.93444693341047
1.235,81.84586061456476
1.24,81.61907551478237
1.245,81.51431139616969
1.25,81.3659858687619
1.255,81.23702075907433
1.26,81.05145025038468
1.265,80.94989683505877
1.27,80.80301779137577
1.275,80.66676519892911
1.28,80.5195527637114
1.285,80.3949159686802
1.29,80.29047155084146
1.295,80.17169036337495
1.3,80.07891507067814
1.305,79.99207667680346
1.31,79.7855654528025
1.315,79.6296921112075
1.32,79.5391413091766
1.325,79.37700092369815
1.33,79.26332441393252
1.335,79.1144121295449
1.34,79.03623377536981
1.345,78.96215535391991
1.35,78.92151010279599
1.355,78.86464218017659
1.36,78.77773387520689
1.365,78.61680680151169
1.37,78.53953199932688
1.375,78.43328894613147
1.38,78.3400786614281
1.385,78.23401497539952
1.39,78.09584947642692
1.395,77.99229589855042
1.4,77.82186002383425
1.405,77.68311906877776
1.41,77.58895820041535
1.415,77.51904753632995
1.42,77.38025372393
1.425,77.17824172615876
1.43,77.04853817407012
1.435,76.7306442775208
1.44,76.59473984229454
1.445,76.34530868467476
1.45,76.20973360195791
1.455,76.06679294355995
1.46,75.96215241703311
1.465,75.70957089476336
