Time,Susceptible,Exposed,Infected,Recovered
1.325,89,7,1,3
1.33,89,7,1,3
1.335,89,6,2,3
1.34,89,6,2,3
1.345,89,6,2,3
1.35,89,6,2,3
1.355,88,7,2,3
1.36,88,7,2,3
1.365,88,6,3,3
1.37,88,6,3,3
1.375,88,6,3,3
1.38,88,6,3,3
1.385,88,6,3,3
1.39,88,6,3,3
1.395,88,6,3,3
1.4,88,6,3,3
1.405,88,6,3,3
1.41,88,6,3,3
1.415,88,6,3,3
1.42,88,6,3,3
1.425,88,6,3,3
1.43,88,6,3,3
1.435,88,6,3,3
1.44,88,6,3,3
1.445,88,6,3,3
1.45,87,7,3,3
1.455,87,7,3,3
1.46,87,7,3,3
1.465,87,7,3,3
1.47,87,7,3,3
1.475,87,7,3,3
1.48,87,7,3,3
1.485,87,7,3,3
1.49,87,7,3,3
1.495,87,7,3,3
1.5,87,7,3,3
1.505,87,7,3,3
1.51,87,7,3,3
1.515,87,7,3,3
1.52,87,7,3,3
1.525,87,7,3,3
1.53,87,7,3,3
1.535,87,7,3,3
1.54,87,7,3,3
1.545,87,7,3,3
1.55,87,7,3,3
1.555,87,7,3,3
1.56,87,7,3,3
1.565,87,7,3,3
1.57,87,7,3,3
1.575,87,7,3,3
1.58,87,7,3,3
1.585,87,7,3,3
1.59,87,7,3,3
1.595,87,7,3,3
1.6,87,7,3,3
1.605,86,8,3,3
1.61,86,8,3,3
1.615,86,8,3,3
1.62,86,8,3,3
1.625,86,8,3,3
1.63,86,7,4,3
1.635,86,7,4,3
1.64,86,7,4,3
1.645,86,7,4,3
1.65,86,7,4,3
1.655,86,7,4,3
1.66,86,7,4,3
1.665,86,7,4,3
1.67,86,7,4,3
1.675,86,7,4,3
1.68,86,6,5,3
1.685,85,7,5,3
1.69,85,7,5,3
1.695,85,7,5,3
1.7,85,7,5,3
1.705,84,8,5,3
1.71,84,8,5,3
1.715,84,8,5,3
1.72,84,8,5,3
1.725,84,8,5,3
1.73,84,8,5,3
1.735,84,8,5,3
1.74,84,7,6,3
1.745,84,7,6,3
1.75,83,8,6,3
1.755,83,8,6,3
1.76,83,8,6,3
1.765,82,9,6,3
1.77,82,9,6,3
1.775,82,9,6,3
1.78,82,9,6,3
1.785,81,10,6,3
1.79,81,10,6,3
1.795,81,10,6,3
1.8,81,10,6,3
1.805,80,10,7,3
1.81,80,10,7,3
1.815,80,10,7,3
1.82,80,10,7,3
1.825,80,10,7,3
1.83,80,10,7,3
1.835,79,11,7,3
1.84,79,11,7,3
1.845,79,11,7,3
1.85,79,11,7,3
1.855,78,12,7,3
1.86,77,13,7,3
1.865,77,13,7,3
1.87,76,14,7,3
1.875,76,14,7,3
1.88,76,14,7,3
1.885,76,14,7,3
1.89,76,14,7,3
1.895,76,14,7,3
1.9,74,16,7,3
1.905,73,17,7,3
1.91,72,18,7,3
1.915,71,18,8,3
1.92,71,18,8,3
1.925,71,18,8,3
1.93,71,18,8,3
1.935,71,18,8,3
1.94,71,18,8,3
1.945,71,18,7,4
1.95,70,19,7,4
1.955,70,19,7,4
1.96,70,19,7,4
1.965,70,19,7,4
1.97,70,19,7,4
1.975,69,20,7,4
1.98,69,20,7,4
1.985,69,20,7,4
1.99,68,21,7,4
1.995,68,21,7,4
2,68,21,7,4
2.005,67,22,7,4
2.01,67,22,7,4
2.015,67,22,7,4
2.02,67,22,7,4
2.025,67,22,7,4
2.03,67,22,7,4
2.035,67,22,7,4
2.04,67,22,7,4
2.045,67,22,7,4
2.05,65,24,7,4
2.055,65,24,7,4
2.06,65,24,7,4
2.065,65,24,7,4
2.07,65,24,7,4
2.075,65,23,8,4
2.08,65,23,8,4
2.085,65,22,9,4
2.09,65,22,9,4
2.095,65,22,9,4
2.1,65,22,9,4
2.105,64,23,9,4
2.11,64,23,9,4
2.115,64,23,9,4
2.12,64,23,9,4
2.125,63,24,9,4
2.13,63,24,9,4
2.135,62,23,11,4
2.14,61,23,12,4
2.145,60,24,12,4
2.15,60,24,12,4
2.155,60,24,12,4
2.16,60,24,12,4
2.165,60,24,12,4
2.17,60,24,12,4
2.175,60,24,12,4
2.18,60,23,13,4
2.185,60,23,13,4
2.19,60,23,12,5
2.195,60,23,12,5
2.2,60,23,12,5
2.205,60,23,12,5
2.21,59,24,12,5
2.215,59,24,12,5
2.22,55,27,13,5
2.225,55,26,14,5
2.23,55,26,14,5
