time,state2Mean,state2STD
0,1,0
0.0001,1,0
0.0002,1,0
0.0003,1,0
0.0004,1,0
0.0005,1,0
0.0006,1,0
0.0007,1,0
0.0008,1,0
0.0009,1,0
0.001,1.01,0.0994987
0.0011,1.01,0.0994987
0.0012,1.01,0.0994987
0.0013,1.01,0.0994987
0.0014,1.02,0.14
0.0015,1.02,0.14
0.0016,1.02,0.14
0.0017,1.01,0.172916
0.0018,1.01,0.172916
0.0019,1.01,0.172916
0.002,1.01,0.172916
0.0021,1.01,0.172916
0.0022,1.01,0.172916
0.0023,1.01,0.172916
0.0024,1.01,0.172916
0.0025,1.01,0.172916
0.0026,1.01,0.172916
0.0027,1.01,0.172916
0.0028,1.01,0.172916
0.0029,1.01,0.172916
0.003,1.01,0.172916
0.0031,1.02,0.198997
0.0032,1.02,0.198997
0.0033,1.02,0.198997
0.0034,1.02,0.198997
0.0035,1.02,0.198997
0.0036,1.02,0.198997
0.0037,1.02,0.198997
0.0038,1.02,0.198997
0.0039,1.03,0.221585
0.004,1.03,0.221585
0.0041,1.03,0.221585
0.0042,1.03,0.221585
0.0043,1.03,0.221585
0.0044,1.03,0.221585
0.0045,1.03,0.221585
0.0046,1.03,0.221585
0.0047,1.03,0.221585
0.0048,1.03,0.221585
0.0049,1.03,0.221585
0.005,1.03,0.221585
0.0051,1.03,0.221585
0.0052,1.03,0.221585
0.0053,1.03,0.221585
0.0054,1.03,0.221585
0.0055,1.04,0.241661
0.0056,1.05,0.259808
0.0057,1.06,0.276405
0.0058,1.06,0.276405
0.0059,1.06,0.276405
0.006,1.06,0.276405
0.0061,1.06,0.276405
0.0062,1.06,0.276405
0.0063,1.06,0.276405
0.0064,1.06,0.276405
0.0065,1.06,0.276405
0.0066,1.06,0.276405
0.0067,1.06,0.276405
0.0068,1.06,0.276405
0.0069,1.06,0.276405
0.007,1.06,0.276405
0.0071,1.06,0.276405
0.0072,1.06,0.276405
0.0073,1.06,0.276405
0.0074,1.06,0.276405
0.0075,1.06,0.276405
0.0076,1.06,0.276405
0.0077,1.06,0.276405
0.0078,1.06,0.276405
0.0079,1.06,0.276405
0.008,1.06,0.276405
0.0081,1.06,0.276405
0.0082,1.07,0.291719
0.0083,1.07,0.291719
0.0084,1.07,0.291719
0.0085,1.07,0.291719
0.0086,1.07,0.291719
0.0087,1.07,0.291719
0.0088,1.07,0.291719
0.0089,1.07,0.291719
0.009,1.07,0.291719
0.0091,1.07,0.291719
0.0092,1.07,0.291719
0.0093,1.07,0.291719
0.0094,1.07,0.291719
0.0095,1.07,0.291719
0.0096,1.07,0.291719
0.0097,1.07,0.291719
0.0098,1.06,0.310483
0.0099,1.06,0.310483
0.01,1.06,0.310483
0.0101,1.06,0.310483
0.0102,1.06,0.310483
0.0103,1.07,0.324191
0.0104,1.07,0.324191
0.0105,1.07,0.324191
0.0106,1.07,0.324191
0.0107,1.07,0.324191
0.0108,1.07,0.324191
0.0109,1.07,0.324191
0.011,1.07,0.324191
0.0111,1.07,0.324191
0.0112,1.07,0.324191
0.0113,1.07,0.324191
0.0114,1.07,0.324191
0.0115,1.07,0.324191
0.0116,1.07,0.324191
0.0117,1.07,0.324191
0.0118,1.07,0.324191
0.0119,1.07,0.324191
