Time,Healthy,Undetectable,Detectable
0,999,1,0
1,998,2,0
2,998,2,0
3,998,2,0
4,998,2,0
5,993,7,0
6,991,9,0
7,990,10,0
8,989,11,0
9,987,13,0
10,986,14,0
11,983,17,0
12,982,18,0
13,980,20,0
14,978,22,0
15,977,23,0
16,973,27,0
17,967,33,0
18,966,34,0
19,964,36,0
20,960,40,0
21,957,43,0
22,955,45,0
23,950,49,1
24,946,53,1
25,939,60,1
26,936,63,1
27,930,69,1
28,926,72,2
29,921,77,2
30,920,78,2
31,913,85,2
32,908,90,2
33,905,93,2
34,898,100,2
35,895,103,2
36,888,110,2
37,885,113,2
38,875,123,2
39,866,131,3
40,863,132,5
41,857,138,5
42,849,146,5
43,841,154,5
44,839,154,7
45,835,157,8
46,830,162,8
47,821,169,10
48,815,175,10
49,808,180,12
50,803,185,12
51,800,188,12
52,784,204,12
53,776,212,12
54,770,218,12
55,766,222,12
56,760,227,13
57,752,235,13
58,746,240,14
59,733,253,14
60,722,264,14
