Time, position_x, position_y
32.5, 32, 20
32.6, 32, 20
32.7, 32, 20
32.8, 32, 20
32.9, 32, 20
33, 32, 20
33.1, 32, 20
33.2, 32, 20
33.3, 32, 20
33.4, 32, 20
33.5, 32, 20
33.6, 32, 20
33.7, 32, 20
33.8, 32, 20
33.9, 31, 20
34, 31, 20
34.1, 31, 20
34.2, 31, 20
34.3, 31, 20
34.4, 31, 20
34.5, 31, 20
34.6, 31, 20
34.7, 31, 21
34.8, 31, 21
34.9, 31, 21
35, 31, 21
35.1, 31, 21
35.2, 31, 21
35.3, 31, 21
35.4, 31, 21
35.5, 31, 21
35.6, 31, 21
35.7, 31, 21
35.8, 31, 21
35.9, 31, 21
36, 31, 21
36.1, 31, 21
36.2, 31, 21
36.3, 31, 21
36.4, 31, 21
36.5, 31, 21
36.6, 31, 21
36.7, 31, 21
36.8, 31, 21
36.9, 31, 21
37, 31, 21
37.1, 31, 21
37.2, 31, 21
37.3, 31, 21
37.4, 31, 21
37.5, 31, 21
37.6, 31, 21
37.7, 31, 21
37.8, 31, 21
37.9, 31, 21
38, 31, 21
38.1, 32, 21
38.2, 32, 21
38.3, 32, 21
38.4, 32, 21
38.5, 32, 21
38.6, 32, 21
38.7, 31, 21
38.8, 31, 21
38.9, 31, 21
39, 31, 21
39.1, 31, 21
39.2, 31, 21
39.3, 30, 21
39.4, 30, 21
39.5, 31, 21
39.6, 31, 21
39.7, 31, 21
39.8, 31, 21
39.9, 31, 21
40, 31, 21
40.1, 31, 21
40.2, 31, 21
40.3, 31, 20
40.4, 31, 20
40.5, 31, 20
40.6, 31, 20
40.7, 31, 20
40.8, 31, 20
40.9, 31, 20
41, 31, 20
41.1, 31, 20
41.2, 31, 20
41.3, 31, 20
41.4, 31, 20
41.5, 31, 20
41.6, 31, 20
41.7, 31, 20
41.8, 31, 20
41.9, 31, 20
42, 31, 20
42.1, 31, 20
42.2, 31, 20
42.3, 31, 20
42.4, 31, 20
42.5, 31, 20
42.6, 31, 20
42.7, 31, 20
42.8, 31, 20
42.9, 31, 20
43, 31, 20
43.1, 32, 20
43.2, 32, 20
