Time,Healthy,Undetectable,Detectable
0,999,1,0
1,999,1,0
2,998,2,0
3,996,4,0
4,996,4,0
5,995,5,0
6,993,7,0
7,993,7,0
8,993,7,0
9,992,8,0
10,992,8,0
11,990,10,0
12,988,12,0
13,987,13,0
14,985,15,0
15,984,16,0
16,983,17,0
17,982,18,0
18,977,23,0
19,974,26,0
20,973,27,0
21,971,29,0
22,970,30,0
23,968,32,0
24,967,33,0
25,964,36,0
26,962,38,0
27,962,38,0
28,955,45,0
29,954,46,0
30,952,48,0
31,947,53,0
32,939,61,0
33,937,63,0
34,932,68,0
35,930,70,0
36,928,72,0
37,926,74,0
38,922,78,0
39,918,81,1
40,915,84,1
41,913,86,1
42,908,91,1
43,901,96,3
44,895,102,3
45,892,105,3
46,891,106,3
47,885,112,3
48,877,119,4
49,874,122,4
50,869,127,4
51,862,134,4
52,850,146,4
53,846,150,4
54,837,159,4
55,827,167,6
56,820,174,6
57,805,189,6
58,796,198,6
59,786,207,7
60,782,211,7
