Radius,Mean EDP
0.1,1.017911764705882
0.11,1.0466985294117643
0.12,1.0754852941176467
0.13,1.104272058823529
0.14,1.1330588235294115
0.15,1.1618455882352938
0.16,1.1906323529411762
0.17,1.2194191176470586
0.18,1.2482058823529407
0.19,1.276992647058823
0.2,1.3057794117647055
0.21,1.3345661764705878
0.22,1.3633529411764702
0.23,1.3921397058823526
0.24,1.4209264705882347
0.25,1.449713235294117
