time,infected lower
0.0,10.0
0.005,9.64719569181707
0.01,9.629179606750064
0.015,9.681077816683695
0.02,9.634177855433347
0.025,9.649578420318932
0.03,9.587476541850018
0.035,9.567432985776648
0.04,9.555219685465147
0.045,9.589418735607866
0.05,9.628869079919792
0.055,9.639999999999999
0.06,9.658534049670124
0.065,9.752551825103097
0.07,9.748513357628335
0.075,9.835668302290676
0.08,9.864171846518861
0.085,9.94407459369587
0.09,10.01602721109423
0.095,10.015855631858322
0.1,10.017717058837654
0.105,10.065563371490489
0.11,10.10192209222624
0.115,10.1505953224783
0.12,10.143397142333955
0.125,10.171037114194897
0.13,10.247089099390449
0.135,10.286919974100353
0.14,10.36436543105469
0.145,10.370191497164079
0.15,10.478927285561431
0.155,10.50208423834364
0.16,10.627907394105575
0.165,10.58007936632917
0.17,10.651504348254624
0.175,10.78670175462896
0.18,10.875572471178717
0.185,10.962471786221004
0.19,11.079655195189725
0.195,11.139621239291603
0.2,11.199665448313167
0.205,11.317327315612058
0.21,11.434092276200804
0.215,11.465021968450374
0.22,11.640709309063716
0.225,11.646984326601045
0.23,11.642223029715868
0.235,11.717162588855162
0.24,11.685379521758493
0.245,11.682678026434704
0.25,11.805546802261343
0.255,11.897965212442537
0.26,11.858348221503219
0.265,11.862102900879561
0.27,11.941611471783514
0.275,11.853512614543842
0.28,12.009739735306535
0.285,12.101765122414054
0.29,12.081562818020855
0.295,12.14775705523093
0.3,12.269108140127392
0.305,12.4318629338153
0.31,12.47397441051867
0.315,12.60806779718301
0.32,12.6
0.325,12.712513028837492
0.33,12.820851669749558
0.335,12.731510805917392
0.34,12.83629788260107
0.345,12.833270440699362
0.35,12.948359675297446
0.355,13.117156453972669
0.36,13.23793769653538
0.365,13.236006175566622
0.37,13.414732853922049
0.375,13.555115820724797
0.38,13.739778766476137
0.385,13.780478285734484
0.39,13.887658549280118
0.395,13.744010135145981
0.4,13.86891362660413
0.405,13.880740797199639
0.41,13.967107195124749
0.415,14.025083927471396
0.42,13.995032402896307
0.425,14.068911880784654
0.43,14.18671029687099
0.435,14.170472994567941
0.44,14.272176473601291
0.445,14.285630389856458
0.45,14.37756609774159
0.455,14.347199620631805
0.46,14.47548279538453
0.465,14.510549576759875
0.47,14.522474038946001
0.475,14.578360025530536
0.48,14.72626448357623
0.485,14.733858667466894
0.49,14.895745510439568
0.495,14.920682633616783
0.5,15.076259693018393
0.505,15.070209383906331
0.51,15.234003022163293
0.515,15.362721820392842
0.52,15.416149985339906
0.525,15.444597179130742
0.53,15.590330121495992
0.535,15.638734303954628
0.54,15.662012697442027
0.545,15.844547047429916
0.55,15.908134703876861
0.555,15.927254730446666
0.56,16.098283354433132
0.565,16.3774555744088
0.57,16.561497173767158
0.575,16.71024924940523
0.58,16.794858705347714
0.585,16.900166416618344
0.59,16.94740595530014
0.595,17.08898808275686
0.6,17.232852355214092
0.605,17.30837387626917
0.61,17.571562686127127
0.615,17.783724143788227
0.62,17.86818418061824
0.625,18.016237646336798
0.63,18.113230276191814
0.635,18.21956653123282
0.64,18.382511752548943
0.645,18.520773945295247
0.65,18.617606494611216
0.655,18.826070418585388
0.66,18.962725070472533
0.665,18.980104948351883
0.67,19.195894111482183
0.675,19.218094107949014
0.68,19.50640420456018
0.685,19.575529665983083
0.69,19.718266113176554
0.695,19.891013004754214
0.7,19.93742256679617
0.705,20.239246417962747
0.71,20.328493019356472
0.715,20.41100149168932
0.72,20.593222644768087
