time,susceptible upper
0.0,90.0
0.005,90.35280430818294
0.01,90.37082039324994
0.015,90.3189221833163
0.02,90.36582214456665
0.025,90.35042157968107
0.03,90.41252345814999
0.035,90.43256701422335
0.04,90.44478031453485
0.045,90.41058126439214
0.05,90.3711309200802
0.055,90.36
0.06,90.34146595032988
0.065,90.2474481748969
0.07,90.25148664237167
0.075,90.16433169770933
0.08,90.13582815348113
0.085,90.05592540630414
0.09,89.98397278890577
0.095,89.98414436814167
0.1,89.98228294116235
0.105,89.9344366285095
0.11,89.89807790777377
0.115,89.8494046775217
0.12,89.85660285766605
0.125,89.8289628858051
0.13,89.75291090060955
0.135,89.71308002589964
0.14,89.63563456894532
0.145,89.62980850283593
0.15,89.52107271443856
0.155,89.49791576165636
0.16,89.37209260589442
0.165,89.41992063367084
0.17,89.34849565174538
0.175,89.21329824537105
0.18,89.12442752882127
0.185,89.03752821377898
0.19,88.92034480481027
0.195,88.8603787607084
0.2,88.80033455168683
0.205,88.68267268438795
0.21,88.5659077237992
0.215,88.53497803154963
0.22,88.35929069093629
0.225,88.35301567339896
0.23,88.35777697028414
0.235,88.28283741114485
0.24,88.31462047824151
0.245,88.31732197356529
0.25,88.19445319773865
0.255,88.10203478755746
0.26,88.14165177849678
0.265,88.13789709912044
0.27,88.05838852821648
0.275,88.14648738545615
0.28,87.99026026469346
0.285,87.89823487758594
0.29,87.91843718197914
0.295,87.85224294476907
0.3,87.73089185987261
0.305,87.56813706618469
0.31,87.52602558948134
0.315,87.39193220281699
0.32,87.39999999999999
0.325,87.28748697116251
0.33,87.17914833025044
0.335,87.2684891940826
0.34,87.16370211739894
0.345,87.16672955930063
0.35,87.05164032470255
0.355,86.88284354602732
0.36,86.76206230346462
0.365,86.76399382443338
0.37,86.58526714607795
0.375,86.4448841792752
0.38,86.26022123352386
0.385,86.21952171426551
0.39,86.11234145071988
0.395,86.25598986485402
0.4,86.13108637339587
0.405,86.11925920280036
0.41,86.03289280487525
0.415,85.9749160725286
0.42,86.00496759710369
0.425,85.93108811921535
0.43,85.81328970312902
0.435,85.82952700543207
0.44,85.72782352639871
0.445,85.71436961014354
0.45,85.62243390225841
0.455,85.6528003793682
0.46,85.52451720461548
0.465,85.48945042324011
0.47,85.477525961054
0.475,85.42163997446947
0.48,85.27373551642377
0.485,85.26614133253311
0.49,85.10425448956043
0.495,85.07931736638322
0.5,84.92374030698161
0.505,84.92979061609365
0.51,84.7659969778367
0.515,84.63727817960716
0.52,84.58385001466009
0.525,84.55540282086925
0.53,84.40966987850402
0.535,84.36126569604538
0.54,84.33798730255796
0.545,84.15545295257009
0.55,84.09186529612313
0.555,84.07274526955332
0.56,83.90171664556688
0.565,83.62254442559119
0.57,83.43850282623285
0.575,83.28975075059478
0.58,83.20514129465228
0.585,83.09983358338165
0.59,83.05259404469986
0.595,82.91101191724313
0.6,82.76714764478591
0.605,82.69162612373083
0.61,82.42843731387288
0.615,82.21627585621177
0.62,82.13181581938176
0.625,81.98376235366321
0.63,81.88676972380819
0.635,81.78043346876719
0.64,81.61748824745106
0.645,81.47922605470475
0.65,81.38239350538879
0.655,81.17392958141461
0.66,81.03727492952747
0.665,81.0198950516481
0.67,80.80410588851782
0.675,80.78190589205099
0.68,80.49359579543982
0.685,80.42447033401692
0.69,80.28173388682345
0.695,80.1089869952458
0.7,80.06257743320383
0.705,79.76075358203725
0.71,79.67150698064353
0.715,79.58899850831068
0.72,79.40677735523191
0.725,79.39861136547644
0.73,79.20700218710282
0.735,79.13697544670023
0.74,79.02242975532745
0.745,78.88118539712926
0.75,78.70347372409894
0.755,78.61872869942054
0.76,78.53221484489887
0.765,78.39013399027127
0.77,78.22813618327618
0.775,77.95520118681063
0.78,77.79444229944198
0.785,77.67824321671594
0.79,77.48957578720747
0.795,77.23650618262255
0.8,77.11280930336723
0.805,77.19539490911947
0.81,77.07173082787826
0.815,76.88982946595623
0.82,76.82818718972085
0.825,76.71527739435346
0.83,76.7133348301151
0.835,76.62980614722066
0.84,76.52980614722065
0.845,76.41237579354785
0.85,76.19741497413
0.855,76.01058940735766
0.86,75.69931503635787
0.865,75.48170978636324
0.87,75.16446905279004
0.875,75.08421795950805
0.88,75.0291519186403
0.885,75.0093275331417
0.89,74.86093079345902
0.895,74.84896567392423
0.9,74.83425371933802
0.905,74.71843734102194
0.91,74.60887361531626
0.915,74.47896900367569
0.92,74.33537443338429
0.925,74.23333474996446
0.93,74.10690627735205
0.935,73.99022207808892
0.94,73.96366749682582
0.945,73.96154496990532
0.95,73.9205534866945
0.955,73.725065910218
0.96,73.69371396612335
