time,susceptible STD
0.0,0.0
0.005,0.48280430818293296
0.01,0.6708203932499367
0.015,0.6489221833163046
0.02,0.7758221445666518
0.025,0.8304215796810673
0.03,0.932523458149981
0.035,1.0725670142233525
0.04,1.1947803145348521
0.045,1.2905812643921328
0.05,1.3711309200802089
0.055,1.4400000000000017
0.06,1.5014659503298762
0.065,1.5074481748969009
0.07,1.5814866423716658
0.075,1.6643316977093239
0.08,1.6758281534811388
0.085,1.715925406304133
0.09,1.7639727889057701
0.095,1.884144368141676
0.1,1.9722829411623464
0.105,1.9744366285095103
0.11,2.028077907773764
0.115,2.0994046775217017
0.12,2.176602857666045
0.125,2.1689628858051067
0.13,2.1829109006095533
0.135,2.19308002589965
0.14,2.265634568945312
0.145,2.3498085028359212
0.15,2.331072714438568
0.155,2.39791576165636
0.16,2.4620926058944255
0.165,2.519920633670831
0.17,2.558495651745376
0.175,2.5332982453710406
0.18,2.5544275288212805
0.185,2.547528213778996
0.19,2.610344804810274
0.195,2.640378760708395
0.2,2.6903345516868336
0.205,2.7326726843879436
0.21,2.7959077237991967
0.215,2.8449780315496263
0.22,2.8192906909362847
0.225,2.9030156733989574
0.23,3.057776970284131
0.235,3.102837411144841
0.24,3.19462047824151
0.245,3.2473219735652963
0.25,3.3144531977386573
0.255,3.3920347875574612
0.26,3.451651778496781
0.265,3.5178970991204386
0.27,3.5983885282164843
0.275,3.656487385456158
0.28,3.6502602646934648
0.285,3.7382348775859455
0.29,3.838437181979145
0.295,3.9022429447690725
0.3,3.980891859872609
0.305,3.9981370661846993
0.31,3.986025589481332
0.315,4.01193220281699
0.32,4.1
0.325,4.077486971162507
0.33,4.109148330250442
0.335,4.268489194082608
0.34,4.323702117398931
0.345,4.416729559300637
0.35,4.481640324702552
0.355,4.502843546027329
0.36,4.46206230346462
0.365,4.533993824433377
0.37,4.445267146077951
0.375,4.424884179275204
0.38,4.5202212335238645
0.385,4.599521714265513
0.39,4.592341450719884
0.395,4.735989864854021
0.4,4.741086373395871
0.405,4.859259202800361
0.41,4.892892804875251
0.415,4.914916072528602
0.42,5.014967597103692
0.425,5.1010881192153485
0.43,5.093289703129011
0.435,5.179527005432059
0.44,5.167823526398709
0.445,5.2543696101435415
0.45,5.342433902258408
0.455,5.482800379368194
0.46,5.514517204615467
0.465,5.549450423240123
0.47,5.6575259610540005
0.475,5.671639974469465
0.48,5.6637355164237695
0.485,5.816141332533108
0.49,5.784254489560433
0.495,5.859317366383218
0.5,5.883740306981608
0.505,5.969790616093667
0.51,5.955996977836707
0.515,5.987278179607157
0.52,6.0538500146600915
0.525,6.175402820869257
0.53,6.20966987850401
0.535,6.321265696045374
0.54,6.457987302557971
0.545,6.485452952570082
0.55,6.62186529612314
0.555,6.612745269553335
0.56,6.641716645566868
0.565,6.682544425591195
0.57,6.678502826232837
0.575,6.619750750594769
0.58,6.635141294652287
0.585,6.609833583381659
0.59,6.612594044699858
0.595,6.671011917243139
0.6,6.607147644785911
0.605,6.611626123730834
0.61,6.558437313872871
0.615,6.496275856211773
0.62,6.47181581938176
0.625,6.513762353663205
0.63,6.576769723808188
0.635,6.690433468767178
0.64,6.64748824745106
0.645,6.5892260547047545
0.65,6.6023935053887834
0.655,6.503929581414608
0.66,6.567274929527468
0.665,6.669895051648114
0.67,6.724105888517819
0.675,6.821905892050988
0.68,6.773595795439821
0.685,6.914470334016916
0.69,6.9217338868234455
0.695,6.958986995245788
0.7,7.06257743320383
0.705,6.900753582037256
0.71,7.001506980643525
0.715,7.038998508310682
0.72,7.026777355231913
0.725,7.128611365476449
0.73,7.087002187102805
0.735,7.106975446700236
0.74,7.16242975532745
0.745,7.171185397129263
0.75,7.083473724098932
0.755,7.078728699420538
0.76,7.11221484489888
0.765,7.090133990271268
0.77,7.108136183276174
0.775,7.145201186810626
0.78,7.194442299441981
0.785,7.22824321671594
0.79,7.189575787207476
0.795,7.096506182622545
0.8,7.1028093033672235
0.805,7.185394909119471
0.81,7.251730827878266
0.815,7.329829465956219
0.82,7.308187189720854
0.825,7.345277394353466
0.83,7.423334830115101
0.835,7.479806147220663
0.84,7.4798061472206605
0.845,7.472375793547857
0.85,7.387414974129989
0.855,7.380589407357655
0.86,7.2993150363578625
0.865,7.311709786363242
0.87,7.274469052790039
0.875,7.304217959508053
0.88,7.3691519186402985
0.885,7.5093275331416995
0.89,7.52093079345901
0.895,7.588965673924214
0.9,7.654253719338023
0.905,7.678437341021937
0.91,7.678873615316244
0.915,7.758969003675682
0.92,7.8453744333843
0.925,7.843334749964455
0.93,7.836906277352053
0.935,7.880222078088916
0.94,7.963667496825819
0.945,8.091544969905312
0.95,8.130553486694497
0.955,8.155065910218015
0.96,8.173713966123357
0.965,8.194046619345047
0.97,8.302403266524701
0.975,8.306238619254806
0.98,8.23088695099137
0.985,8.25375066257759
0.99,8.301180638921188
0.995,8.299704814028026
1.0,8.368147943242874
1.005,8.429822062179012
1.01,8.473275635785724
1.015,8.585679938129537
1.02,8.552800710878278
1.025,8.605230967266364
1.03,8.799113591720475
1.035,8.80524843488246
1.04,8.802789330661048
1.045,8.821201732190461
1.05,8.88720428481308
1.055,8.855568869361244
1.06,8.820719925266873
1.065,8.948161822407997
1.07,9.122039245695012
1.075,8.98053450525079
1.08,8.872536277750573
1.085,8.922886304330005
1.09,8.914280677654256
1.095,9.021369075700207
1.1,9.13548575610515
1.105,9.0741611182522
1.11,9.174878745792775
1.115,9.14773742517788
1.12,9.277990084064546
1.125,9.278599032181528
1.13,9.441737128304304
1.135,9.417531523706197
1.14,9.430689264311491
1.145,9.395078498873758
1.15,9.37270505243817
1.155,9.320359435129099
1.16,9.347192091746056
1.165,9.433472319353038
1.17,9.467264652474864
1.175,9.474259865551504
1.18,9.389355675444405
1.185,9.389163967042007
1.19,9.365447132945654
1.195,9.422547426253686
1.2,9.443961033380006
1.205,9.427295476434374
1.21,9.392225508365948
1.215,9.470987276942147
1.22,9.481856358329841
1.225,9.267550917043835
1.23,9.226245173416974
1.235,9.2100977193513
1.24,9.122477733598478
1.245,9.116901886057564
1.25,9.147999781372974
1.255,9.155430082743248
1.26,9.111811016477462
1.265,9.149732236519274
