Time,Susceptible,Exposed,Infected,Recovered
0,99,0,1,0
0.005,99,0,1,0
0.01,99,0,1,0
0.015,99,0,1,0
0.02,99,0,1,0
0.025,99,0,1,0
0.03,99,0,1,0
0.035,99,0,1,0
0.04,98,1,1,0
0.045,97,2,1,0
0.05,97,2,1,0
0.055,97,2,1,0
0.06,97,2,1,0
0.065,97,2,1,0
0.07,97,2,1,0
0.075,97,2,1,0
0.08,97,2,1,0
0.085,97,2,1,0
0.09,97,2,1,0
0.095,97,2,1,0
0.1,97,2,1,0
0.105,97,2,1,0
0.11,97,2,1,0
0.115,97,2,1,0
0.12,97,2,1,0
0.125,97,2,1,0
0.13,97,2,1,0
0.135,97,2,1,0
0.14,97,2,1,0
0.145,97,2,1,0
0.15,97,2,1,0
0.155,97,2,1,0
0.16,97,2,1,0
0.165,97,2,1,0
0.17,97,2,1,0
0.175,97,2,1,0
0.18,97,2,1,0
0.185,97,2,1,0
0.19,97,2,1,0
0.195,97,2,1,0
0.2,97,2,1,0
0.205,97,2,1,0
0.21,97,2,1,0
0.215,97,2,1,0
0.22,97,2,1,0
0.225,97,2,1,0
0.23,97,2,1,0
0.235,97,2,1,0
0.24,97,2,1,0
0.245,97,2,1,0
0.25,97,2,1,0
0.255,97,2,1,0
0.26,97,2,1,0
0.265,97,2,1,0
0.27,97,2,1,0
0.275,97,2,1,0
0.28,97,2,1,0
0.285,97,2,1,0
0.29,96,3,1,0
0.295,96,3,1,0
0.3,96,3,1,0
0.305,96,3,1,0
0.31,96,3,1,0
0.315,96,3,1,0
0.32,96,3,0,1
0.325,96,3,0,1
0.33,96,3,0,1
0.335,96,3,0,1
0.34,96,3,0,1
0.345,96,3,0,1
0.35,96,3,0,1
0.355,96,3,0,1
0.36,96,3,0,1
0.365,96,3,0,1
0.37,96,3,0,1
0.375,96,3,0,1
0.38,96,3,0,1
0.385,96,2,1,1
0.39,96,2,1,1
0.395,96,2,1,1
0.4,96,2,1,1
0.405,96,2,1,1
0.41,96,2,1,1
0.415,96,2,1,1
0.42,96,2,1,1
0.425,96,2,1,1
0.43,96,2,1,1
0.435,96,2,1,1
0.44,96,2,1,1
0.445,96,2,1,1
0.45,96,2,1,1
0.455,96,2,1,1
0.46,96,2,1,1
0.465,96,2,1,1
0.47,96,2,1,1
0.475,96,2,1,1
0.48,96,2,1,1
0.485,96,2,1,1
0.49,96,2,1,1
0.495,96,2,1,1
0.5,96,2,1,1
0.505,96,2,1,1
0.51,96,2,1,1
