time,recovered lower
0.0,0.0
0.005,0.0
0.01,0.0
0.015,0.0
0.02,-0.08949874371066197
0.025,-0.11999999999999993
0.03,-0.11999999999999993
0.035,-0.14058722109231991
0.04,-0.15595917942265414
0.045,-0.16794494717703373
0.05,-0.16794494717703373
0.055,-0.17748684174075824
0.06,-0.19129319932501082
0.065,-0.19129319932501082
0.07,-0.19618176042508365
0.075,-0.19618176042508365
0.08,-0.19618176042508365
0.085,-0.19618176042508365
0.09,-0.19618176042508365
0.095,-0.19618176042508365
0.1,-0.20288975694324046
0.105,-0.20288975694324046
0.11,-0.20630343441600457
0.115,-0.20630343441600457
0.12,-0.20630343441600457
0.125,-0.20630343441600457
0.13,-0.20630343441600457
0.135,-0.20630343441600457
0.14,-0.20630343441600457
0.145,-0.2069870314579496
0.15,-0.2069870314579496
0.155,-0.20707142142714283
0.16,-0.20707142142714283
0.165,-0.20707142142714283
0.17,-0.20660605559646747
0.175,-0.2056327994198591
0.18,-0.2056327994198591
0.185,-0.20418745424597118
0.19,-0.20230090491866054
0.195,-0.19999999999999984
0.2,-0.19999999999999984
0.205,-0.19999999999999984
0.21,-0.1973082370883262
0.215,-0.20552167895721496
0.22,-0.19593991028886992
0.225,-0.19593991028886992
0.23,-0.19593991028886992
0.235,-0.19593991028886992
0.24,-0.19593991028886992
0.245,-0.19593991028886992
0.25,-0.18528938553264557
0.255,-0.18754310161798055
0.26,-0.18754310161798055
0.265,-0.18754310161798055
0.27,-0.18097945164164836
0.275,-0.16720402163942982
0.28,-0.16720402163942982
0.285,-0.16720402163942982
0.29,-0.15258970521815696
0.295,-0.13716221412388818
0.3,-0.13716221412388818
0.305,-0.13716221412388818
0.31,-0.12915026221291814
0.315,-0.12915026221291814
0.32,-0.12915026221291814
0.325,-0.12915026221291814
0.33,-0.12915026221291814
0.335,-0.12915026221291814
0.34,-0.12094255809833138
0.345,-0.11254107822777398
0.35,-0.10394756296849955
0.355,-0.10394756296849955
0.36,-0.09516352641038611
0.365,-0.07702886328390218
0.37,-0.058144961882948265
0.375,-0.06668662638867107
0.38,-0.06668662638867107
0.385,-0.06668662638867107
0.39,-0.06668662638867107
0.395,-0.06668662638867107
0.4,-0.06668662638867107
0.405,-0.07445626465380284
0.41,-0.07445626465380284
0.415,-0.06436921923097494
0.42,-0.05410800377629277
0.425,-0.05410800377629277
0.43,-0.043672380370538666
0.435,-0.043672380370538666
0.44,-0.043672380370538666
0.445,-0.043672380370538666
0.45,-0.03306195127577605
0.455,-0.0222761571129797
0.46,-0.028557558782486336
0.465,-0.028557558782486336
0.47,-0.028557558782486336
0.475,-0.028557558782486336
0.48,-0.01745212570898036
0.485,-0.006174035590114202
0.49,-0.006174035590114202
0.495,0.005277843758251466
0.5,0.005277843758251466
0.505,0.005277843758251466
0.51,0.005277843758251466
0.515,0.028708334826655135
0.52,0.040690065681590504
0.525,0.04805405652205019
0.53,0.04805405652205019
0.535,0.07314396995515127
0.54,0.07314396995515127
0.545,0.06908403249705553
0.55,0.06908403249705553
0.555,0.06550834017051155
0.56,0.06550834017051155
0.565,0.06550834017051155
0.57,0.06550834017051155
0.575,0.06550834017051155
0.58,0.10510331460653555
0.585,0.10510331460653555
0.59,0.10226219154078031
0.595,0.09984128983247376
0.6,0.09984128983247376
0.605,0.09781622567990733
0.61,0.09616515846889895
0.615,0.09486843406736434
0.62,0.09486843406736434
0.625,0.09486843406736434
0.63,0.09486843406736434
0.635,0.10886461295737604
0.64,0.10886461295737604
0.645,0.10886461295737604
0.65,0.10798809534354215
0.655,0.10798809534354215
0.66,0.10798809534354215
0.665,0.10798809534354215
0.67,0.10798809534354215
0.675,0.13667504192892033
0.68,0.13667504192892033
0.685,0.13667504192892033
0.69,0.13667504192892033
0.695,0.13667504192892033
0.7,0.13667504192892033
0.705,0.13667504192892033
0.71,0.13667504192892033
0.715,0.13667504192892033
0.72,0.13667504192892033
0.725,0.15128913778502184
0.73,0.15128913778502184
0.735,0.15128913778502184
0.74,0.16608869102912716
0.745,0.18107781668369527
0.75,0.18107781668369527
0.755,0.18107781668369527
0.76,0.18107781668369527
0.765,0.1810455919870172
0.77,0.18147218185250513
0.775,0.18147218185250513
0.78,0.18217734843929423
0.785,0.16894444661475305
0.79,0.16894444661475305
0.795,0.18585715714571482
0.8,0.17386142608881083
0.805,0.17386142608881083
0.81,0.16508170370947517
0.815,0.15488854294437904
0.82,0.15488854294437904
0.825,0.17361586994649947
0.83,0.17361586994649947
0.835,0.18025003907471215
0.84,0.18025003907471215
0.845,0.1715258098143836
0.85,0.18759615953640396
0.855,0.18759615953640396
0.86,0.1835790533469408
0.865,0.1835790533469408
0.87,0.1835790533469408
0.875,0.17612647306524365
0.88,0.19241519598331613
0.885,0.19241519598331613
0.89,0.21359584122004693
0.895,0.21847196170648608
0.9,0.21713116678392086
0.905,0.21713116678392086
0.91,0.21674751609637266
0.915,0.21137466467195642
0.92,0.23566239933669308
0.925,0.23566239933669308
0.93,0.23566239933669308
0.935,0.2065525181089637
0.94,0.2065525181089637
0.945,0.19999999999999973
0.95,0.19999999999999973
0.955,0.2170750280106759
0.96,0.2170750280106759
0.965,0.2170750280106759
0.97,0.2170750280106759
0.975,0.19452450053645798
0.98,0.19452450053645798
0.985,0.20184631498982641
0.99,0.21680108401140874
0.995,0.20529625012518338
1.0,0.20529625012518338
1.005,0.20529625012518338
1.01,0.18505760521583414
1.015,0.18505760521583414
1.02,0.18382483151642193
1.025,0.18279631503503313
1.03,0.20822869886713713
1.035,0.24321575278254914
1.04,0.26949086075128426
1.045,0.26949086075128426
1.05,0.24178714012045166
1.055,0.24178714012045166
1.06,0.24178714012045166
1.065,0.27739045483152447
1.07,0.27739045483152447
1.075,0.27739045483152447
1.08,0.28665677551337865
1.085,0.2875902661479113
1.09,0.2875902661479113
1.095,0.29782813781970874
1.1,0.3171340060527412
1.105,0.34549137181059253
1.11,0.3554476857740403
1.115,0.3497008929337768
1.12,0.3532397040682558
1.125,0.3385958560414286
1.13,0.3385958560414286
1.135,0.3295600774127536
1.14,0.3295600774127536
1.145,0.3295600774127536
1.15,0.32720779386421417
1.155,0.33803301929649177
1.16,0.36645023470065574
1.165,0.36645023470065574
1.17,0.37765839184716565
1.175,0.3925218448455132
1.18,0.3925218448455132
1.185,0.3925218448455132
1.19,0.38470535620340973
1.195,0.40389893193520443
1.2,0.431412975763553
1.205,0.43380960619542175
1.21,0.4083460336636069
1.215,0.4083460336636069
1.22,0.4083460336636069
1.225,0.4083460336636069
1.23,0.42609691341018596
1.235,0.41634942300427613
1.24,0.4405480480673576
1.245,0.4405480480673576
