Time,Susceptible,Exposed,Infected,Recovered
0,99,0,1,0
0.005,98,1,1,0
0.01,98,1,1,0
0.015,98,1,1,0
0.02,98,1,1,0
0.025,98,1,1,0
0.03,98,1,1,0
0.035,98,1,1,0
0.04,98,1,1,0
0.045,98,1,1,0
0.05,98,1,1,0
0.055,98,1,1,0
0.06,98,1,1,0
0.065,98,1,1,0
0.07,98,1,1,0
0.075,97,2,1,0
0.08,96,3,1,0
0.085,96,3,1,0
0.09,96,3,1,0
0.095,96,3,1,0
0.1,96,3,1,0
0.105,96,3,1,0
0.11,96,3,1,0
0.115,96,3,1,0
0.12,96,3,1,0
0.125,96,3,1,0
0.13,96,3,1,0
0.135,96,3,1,0
0.14,96,2,2,0
0.145,96,2,2,0
0.15,96,2,2,0
0.155,96,2,2,0
0.16,96,2,2,0
0.165,96,2,2,0
0.17,96,2,2,0
0.175,96,1,3,0
0.18,96,1,3,0
0.185,96,1,3,0
0.19,96,1,3,0
0.195,96,1,3,0
0.2,96,1,3,0
0.205,96,1,3,0
0.21,96,1,3,0
0.215,96,1,2,1
0.22,96,1,2,1
0.225,96,1,2,1
0.23,96,1,2,1
0.235,96,1,2,1
0.24,96,1,2,1
0.245,96,1,1,2
0.25,96,1,1,2
0.255,96,1,1,2
0.26,95,2,1,2
0.265,95,2,1,2
0.27,95,2,1,2
0.275,95,2,1,2
0.28,95,2,1,2
0.285,95,2,1,2
0.29,95,2,1,2
0.295,95,2,1,2
0.3,95,2,1,2
0.305,95,2,1,2
0.31,95,2,1,2
0.315,95,2,1,2
0.32,95,2,1,2
0.325,95,2,1,2
0.33,95,2,1,2
0.335,95,2,1,2
0.34,95,2,1,2
0.345,95,2,0,3
0.35,95,2,0,3
0.355,95,2,0,3
0.36,95,2,0,3
0.365,95,2,0,3
0.37,95,2,0,3
0.375,95,2,0,3
0.38,95,2,0,3
0.385,95,2,0,3
0.39,95,2,0,3
0.395,95,2,0,3
0.4,95,2,0,3
0.405,95,2,0,3
0.41,95,2,0,3
0.415,95,2,0,3
0.42,95,2,0,3
0.425,95,2,0,3
0.43,95,2,0,3
0.435,95,1,1,3
0.44,95,1,1,3
0.445,95,1,1,3
0.45,95,1,1,3
0.455,94,2,1,3
0.46,94,2,1,3
0.465,94,2,1,3
0.47,94,2,1,3
0.475,94,2,1,3
0.48,94,2,1,3
0.485,94,2,1,3
0.49,94,2,1,3
0.495,94,2,1,3
0.5,94,2,1,3
0.505,94,2,1,3
0.51,94,2,1,3
0.515,94,2,1,3
0.52,94,2,1,3
0.525,94,2,1,3
0.53,94,2,1,3
0.535,94,2,1,3
0.54,94,2,1,3
0.545,94,2,1,3
0.55,94,1,2,3
0.555,94,1,2,3
0.56,94,1,2,3
0.565,94,1,2,3
0.57,94,1,2,3
0.575,93,2,2,3
0.58,93,2,2,3
0.585,93,2,2,3
0.59,93,2,2,3
0.595,92,3,2,3
0.6,92,3,2,3
0.605,92,3,2,3
0.61,92,3,2,3
0.615,92,3,2,3
0.62,92,3,2,3
0.625,92,3,2,3
0.63,92,3,2,3
0.635,92,3,2,3
0.64,92,3,2,3
0.645,92,3,2,3
0.65,92,3,2,3
0.655,92,3,2,3
0.66,92,3,2,3
0.665,92,3,2,3
0.67,92,3,2,3
0.675,92,3,2,3
0.68,92,3,2,3
0.685,92,3,2,3
0.69,92,3,2,3
0.695,92,3,2,3
0.7,92,3,2,3
0.705,92,3,2,3
0.71,92,3,2,3
0.715,92,3,2,3
0.72,92,3,2,3
0.725,92,3,2,3
0.73,92,3,2,3
0.735,92,3,2,3
0.74,92,3,2,3
0.745,92,3,2,3
0.75,92,3,2,3
0.755,92,3,2,3
0.76,92,3,2,3
0.765,92,3,2,3
0.77,92,3,2,3
0.775,92,3,2,3
0.78,92,3,2,3
0.785,92,3,2,3
0.79,92,3,2,3
0.795,92,3,2,3
0.8,92,3,2,3
0.805,92,3,2,3
0.81,92,3,2,3
0.815,92,3,2,3
0.82,92,3,2,3
0.825,92,3,2,3
0.83,91,4,2,3
0.835,91,4,2,3
0.84,91,4,2,3
0.845,91,4,2,3
0.85,91,4,2,3
0.855,90,5,2,3
0.86,90,5,2,3
0.865,90,5,2,3
0.87,90,5,2,3
0.875,90,5,2,3
0.88,90,4,3,3
0.885,89,5,3,3
0.89,89,5,3,3
0.895,89,5,3,3
0.9,89,5,3,3
0.905,89,5,3,3
0.91,89,5,3,3
0.915,89,5,3,3
0.92,89,5,3,3
0.925,89,5,3,3
0.93,89,5,3,3
0.935,89,5,3,3
0.94,89,5,3,3
0.945,89,5,3,3
0.95,88,6,3,3
0.955,88,6,3,3
0.96,88,6,3,3
0.965,88,6,3,3
0.97,88,6,3,3
0.975,88,6,3,3
0.98,88,6,3,3
0.985,88,6,3,3
0.99,88,6,3,3
0.995,88,6,3,3
1,88,6,3,3
1.005,88,6,3,3
1.01,88,6,3,3
1.015,88,6,3,3
1.02,88,6,3,3
1.025,88,6,3,3
1.03,88,6,3,3
1.035,88,6,3,3
1.04,87,7,3,3
1.045,87,7,3,3
1.05,87,7,3,3
1.055,87,6,4,3
1.06,87,6,4,3
1.065,85,8,4,3
1.07,85,8,4,3
1.075,85,8,4,3
1.08,85,8,4,3
1.085,85,8,2,5
1.09,85,8,2,5
1.095,85,8,2,5
1.1,85,8,2,5
1.105,85,8,2,5
1.11,85,8,2,5
1.115,85,8,2,5
1.12,85,8,2,5
1.125,85,8,2,5
1.13,85,8,2,5
1.135,84,9,2,5
1.14,83,10,2,5
1.145,83,10,2,5
1.15,83,10,2,5
1.155,83,10,2,5
1.16,83,10,2,5
1.165,83,10,2,5
1.17,83,10,2,5
1.175,83,10,2,5
1.18,83,10,2,5
1.185,83,10,2,5
1.19,83,10,2,5
1.195,83,10,2,5
1.2,83,10,2,5
1.205,82,11,2,5
1.21,81,12,2,5
1.215,81,12,2,5
1.22,81,12,2,5
1.225,81,12,2,5
1.23,81,12,2,5
1.235,81,12,2,5
1.24,81,12,2,5
1.245,81,12,2,5
1.25,81,12,2,5
1.255,81,12,2,5
1.26,81,12,2,5
1.265,81,12,2,5
1.27,81,12,2,5
1.275,81,12,2,5
1.28,81,12,2,5
1.285,81,12,1,6
1.29,81,12,1,6
1.295,81,12,1,6
1.3,81,12,1,6
1.305,81,12,1,6
1.31,81,12,1,6
1.315,81,12,1,6
1.32,81,12,1,6
1.325,80,13,1,6
1.33,80,13,1,6
1.335,80,13,1,6
1.34,80,13,1,6
1.345,80,13,1,6
1.35,80,13,1,6
1.355,80,13,1,6
1.36,80,13,1,6
1.365,80,13,1,6
1.37,79,14,1,6
1.375,79,14,1,6
1.38,79,14,1,6
1.385,79,14,1,6
1.39,78,15,1,6
1.395,78,15,1,6
1.4,78,15,1,6
1.405,78,15,1,6
1.41,78,15,1,6
1.415,78,15,1,6
1.42,78,15,1,6
1.425,78,15,1,6
1.43,78,15,1,6
1.435,78,15,1,6
1.44,78,15,1,6
1.445,78,15,1,6
1.45,78,15,1,6
1.455,78,15,1,6
1.46,78,15,1,6
1.465,78,15,1,6
1.47,78,15,1,6
1.475,78,15,1,6
1.48,78,15,1,6
1.485,78,15,1,6
1.49,78,15,1,6
1.495,78,15,1,6
1.5,78,15,1,6
1.505,78,15,1,6
1.51,78,15,1,6
1.515,78,15,1,6
1.52,78,15,1,6
1.525,78,15,1,6
1.53,78,15,1,6
1.535,78,15,1,6
1.54,78,15,1,6
1.545,78,15,1,6
1.55,78,14,2,6
1.555,78,14,2,6
1.56,78,14,2,6
1.565,78,14,2,6
1.57,78,14,2,6
1.575,78,14,2,6
1.58,78,14,2,6
1.585,78,14,2,6
1.59,78,14,2,6
1.595,78,14,2,6
1.6,78,14,2,6
1.605,78,14,2,6
1.61,78,14,2,6
1.615,78,14,2,6
1.62,78,14,2,6
1.625,78,14,2,6
1.63,78,14,2,6
1.635,78,14,2,6
1.64,78,14,2,6
1.645,78,14,2,6
1.65,78,14,2,6
1.655,78,14,2,6
1.66,78,14,2,6
1.665,78,14,2,6
1.67,78,14,2,6
1.675,78,14,2,6
1.68,78,14,2,6
1.685,78,14,2,6
1.69,78,14,2,6
1.695,78,14,2,6
1.7,78,14,2,6
1.705,78,14,2,6
1.71,78,14,2,6
1.715,78,14,2,6
1.72,78,14,2,6
1.725,78,14,2,6
1.73,78,14,2,6
1.735,78,14,2,6
1.74,78,14,2,6
1.745,78,14,2,6
1.75,78,14,2,6
1.755,78,14,2,6
1.76,78,14,2,6
1.765,78,14,2,6
1.77,78,14,2,6
1.775,78,14,2,6
1.78,78,14,2,6
1.785,78,14,2,6
1.79,78,14,2,6
1.795,78,14,1,7
1.8,78,14,1,7
1.805,78,14,1,7
1.81,78,14,1,7
1.815,78,14,1,7
1.82,78,14,1,7
1.825,78,14,1,7
1.83,78,14,1,7
1.835,78,13,2,7
1.84,78,13,2,7
1.845,78,13,2,7
1.85,77,14,2,7
1.855,77,14,2,7
1.86,77,14,2,7
1.865,77,14,2,7
1.87,77,14,2,7
1.875,77,14,2,7
1.88,77,14,2,7
1.885,77,14,2,7
1.89,77,14,2,7
1.895,77,14,2,7
1.9,77,14,2,7
1.905,77,14,2,7
1.91,77,14,2,7
1.915,77,14,2,7
1.92,77,14,2,7
1.925,77,14,2,7
1.93,77,14,2,7
1.935,77,14,2,7
1.94,77,14,2,7
1.945,77,14,2,7
1.95,77,14,2,7
1.955,77,14,2,7
1.96,77,14,2,7
1.965,77,14,2,7
1.97,77,14,2,7
1.975,77,14,2,7
1.98,77,14,2,7
1.985,77,14,2,7
1.99,77,14,2,7
1.995,77,14,2,7
2,77,14,2,7
2.005,77,14,2,7
2.01,77,14,2,7
