time,infectious STD
0.0,0.0
0.005,0.0
0.01,0.0
0.015,0.0
0.02,0.09949874371066197
0.025,0.13999999999999993
0.03,0.13999999999999993
0.035,0.1705872210923199
0.04,0.19595917942265415
0.045,0.21794494717703375
0.05,0.21794494717703375
0.055,0.25980762113533173
0.06,0.29171904291629636
0.065,0.29171904291629636
0.07,0.32419130154894643
0.075,0.32419130154894643
0.08,0.32419130154894643
0.085,0.32419130154894643
0.09,0.32419130154894643
0.095,0.32419130154894643
0.1,0.34914180500192193
0.105,0.34914180500192193
0.11,0.3713488925525429
0.115,0.3713488925525429
0.12,0.3872983346207416
0.125,0.3872983346207416
0.13,0.3872983346207416
0.135,0.3872983346207416
0.14,0.3872983346207416
0.145,0.412310562561766
0.15,0.412310562561766
0.155,0.4493328387732195
0.16,0.4862098312457286
0.165,0.4862098312457286
0.17,0.4744470465710582
0.175,0.4528796749689698
0.18,0.4528796749689698
0.185,0.48620983124572853
0.19,0.4950757517794623
0.195,0.5035871324805666
0.2,0.5035871324805666
0.205,0.5148786264742399
0.21,0.5148786264742399
0.215,0.5271622141238881
0.22,0.5030904491242107
0.225,0.5271622141238881
0.23,0.5271622141238881
0.235,0.5385164807134506
0.24,0.5385164807134506
0.245,0.5494542747126457
0.25,0.5458021619598077
0.255,0.5660388679233963
0.26,0.5660388679233963
0.265,0.5771481612203231
0.27,0.583438085832593
0.275,0.6062177826491072
0.28,0.6062177826491072
0.285,0.6062177826491072
0.29,0.628012738724303
0.295,0.6225752966509357
0.3,0.6225752966509357
0.305,0.6280127387243031
0.31,0.659090282131363
0.315,0.659090282131363
0.32,0.659090282131363
0.325,0.659090282131363
0.33,0.659090282131363
0.335,0.659090282131363
0.34,0.664153596692813
0.345,0.6690291473471097
0.35,0.6737210105080587
0.355,0.7031358332498774
0.36,0.7310266752998822
0.365,0.7400000000000007
0.37,0.7306846104852626
0.375,0.7348469228349533
0.38,0.7348469228349533
0.385,0.7348469228349533
0.39,0.7306846104852626
0.395,0.7306846104852626
0.4,0.7838367176906166
0.405,0.7880989785553586
0.41,0.7838367176906166
0.415,0.7880989785553586
0.42,0.8006872048434392
0.425,0.8006872048434392
0.43,0.804735981549229
0.435,0.804735981549229
0.44,0.8411301920630357
0.445,0.8562125904236638
0.45,0.8819863944528853
0.455,0.9153687781435418
0.46,0.8975522268926747
0.465,0.9262289133902054
0.47,0.9539392014169462
0.475,0.9539392014169462
0.48,0.964365076099296
0.485,0.9390953093270139
0.49,0.9662297863344933
0.495,0.9705153270299238
0.5,0.9705153270299238
0.505,0.9705153270299238
0.51,0.9705153270299238
0.515,0.9475758544834292
0.52,0.9516301802696251
0.525,0.9826494797230593
0.53,0.9826494797230593
0.535,1.0027960909377336
0.54,1.0089103032480145
0.545,1.0127191120937726
0.55,1.0108906963663282
0.555,1.0278132126023682
0.56,1.0384603988597731
0.565,1.0723339032223123
0.57,1.0862780491200215
0.575,1.0862780491200215
0.58,1.0629675441893789
0.585,1.0629675441893793
0.59,1.039038016628843
0.595,1.0439827584783188
0.6,1.0675204916066017
0.605,1.0952625256074455
0.61,1.108647825055369
0.615,1.081249277456406
0.62,1.081249277456406
0.625,1.1128342194594838
0.63,1.1128342194594838
0.635,1.1128342194594838
0.64,1.1128342194594838
0.645,1.1473447607410776
0.65,1.1434596626029274
0.655,1.1646458689232537
0.66,1.163443165779919
0.665,1.163443165779919
0.67,1.1755424279880335
0.675,1.1497391008398388
0.68,1.161895003862225
0.685,1.1855800268223144
0.69,1.1855800268223144
0.695,1.1855800268223144
0.7,1.21671689394041
0.705,1.2114041439585717
0.71,1.2114041439585717
0.715,1.2467557900406958
0.72,1.2414104881142245
0.725,1.281054253339802
0.73,1.2913558765886344
0.735,1.3137351331223504
0.74,1.3082813153141033
0.745,1.292903708711519
0.75,1.292903708711519
0.755,1.2970736293672764
0.76,1.306713434537198
0.765,1.3275541420220869
0.77,1.3828955130450025
0.775,1.3845938032506142
0.78,1.4076931483814217
0.785,1.4177446878757824
0.79,1.4331433982682968
0.795,1.4483093592185339
0.8,1.4620533505997653
0.805,1.4711899945282396
0.81,1.4632498077908642
0.815,1.4981321704042005
0.82,1.4981321704042005
0.825,1.4756693396557374
0.83,1.4924811556599298
0.835,1.4722431864335457
0.84,1.4722431864335457
0.845,1.4943560486042142
0.85,1.50103297765239
0.855,1.5085091978506464
0.86,1.50103297765239
0.865,1.5224651063324894
0.87,1.5224651063324894
0.875,1.5224651063324894
0.88,1.5632018423735308
0.885,1.5827507700203476
0.89,1.5822768405054788
0.895,1.6206171663906317
0.9,1.6088505213350306
0.905,1.615270875116617
0.91,1.5900943368240765
0.915,1.5963708842245903
0.92,1.5885842753848476
0.925,1.639634105524766
0.93,1.6519987893458037
0.935,1.6400000000000003
0.94,1.6460862674841799
0.945,1.6821414922651423
0.95,1.6879277235711252
0.955,1.6879277235711252
0.96,1.6877203559831822
0.965,1.6867424225411538
0.97,1.715692280101533
0.975,1.704435390385919
0.98,1.704435390385919
0.985,1.7102923726661476
0.99,1.74355957741627
0.995,1.779747173055769
1.0,1.7993332098307973
1.005,1.867056506911347
1.01,1.870053475171232
1.015,1.920286436967152
1.02,1.8874321179846438
1.025,1.936904747270759
1.03,1.939690696992693
1.035,1.9306734576307822
1.04,1.9163506985935541
1.045,2.0000000000000004
1.05,1.9964718881066168
1.055,2.0000000000000004
1.06,2.0282751292662438
1.065,1.9978988963408542
1.07,1.9964718881066168
1.075,1.9964718881066168
1.08,1.9716997743064233
1.085,2.001899098356358
1.09,2.0234623791906787
1.095,2.006888138387389
1.1,2.0035967658189113
1.105,1.9935897271003384
1.11,1.9835322029147906
1.115,1.9767397400770803
1.12,1.9963967541548455
1.125,1.9773719933285194
1.13,1.996872554771586
1.135,1.9962715246178309
1.14,2.004095806093112
1.145,2.0320187007013497
1.15,2.05180408421467
1.155,2.099785703351654
1.16,2.0712073773526396
1.165,2.099404677521701
1.17,2.1035921657964023
1.175,2.12722824351314
1.18,2.1794494717703374
1.185,2.1858407993264275
1.19,2.1610182784974317
1.195,2.18302542358077
1.2,2.1524637046881887
1.205,2.1008569680013913
1.21,2.184032966784156
1.215,2.198431258875292
1.22,2.2703303724348136
1.225,2.286394541630994
1.23,2.2820166519988416
1.235,2.306512518934159
1.24,2.3237900077244493
1.245,2.3237900077244493
1.25,2.3584740829612696
1.255,2.4178296052451675
1.26,2.401228852067208
1.265,2.3845125287991253
1.27,2.3563531144546226
1.275,2.3360436639754827
1.28,2.3371777852786466
1.285,2.3113632341109867
1.29,2.3200000000000003
1.295,2.3605931458004363
1.3,2.299456457513384
1.305,2.325059139032812
