time,susceptible upper
0.0,99.0
0.005,99.18514701644347
0.01,99.2
0.015,99.23405728739343
0.02,99.23405728739343
0.025,99.2211612227462
0.03,99.2211612227462
0.035,99.22696960070847
0.04,99.22565492337414
0.045,99.23851648071346
0.05,99.22227615711299
0.055,99.2395382975622
0.06,99.24603303221387
0.065,99.22801098892805
0.07,99.22438716850169
0.075,99.2164854858378
0.08,99.18740078740119
0.085,99.18969129919988
0.09,99.17917607125966
0.095,99.16602540378443
0.1,99.1651571287489
0.105,99.1651571287489
0.11,99.16408144421202
0.115,99.17393583843102
0.12,99.13192104921424
0.125,99.17054984883313
0.13,99.13652868811573
0.135,99.11168133323008
0.14,99.09749698794744
0.145,99.11183802907976
0.15,99.10082537557577
0.155,99.11940155635266
0.16,99.09743529847358
0.165,99.0633288288206
0.17,99.06402572320671
0.175,99.04948808580467
0.18,98.96963994814506
0.185,98.92
0.19,98.89218065268011
0.195,98.88062484748656
0.2,98.87136645812195
0.205,98.82390030765633
0.21,98.78452325786651
0.215,98.78495247062394
0.22,98.78227077408525
0.225,98.7523486879347
0.23,98.71651401775102
0.235,98.69422138965786
0.24,98.67054337128539
0.245,98.6545938032506
0.25,98.6545938032506
0.255,98.6142135623731
0.26,98.57390308658982
0.265,98.5905136082899
0.27,98.52846859006246
0.275,98.529699969994
0.28,98.50957510439991
0.285,98.48957230824992
0.29,98.44877433700339
0.295,98.42059590890483
0.3,98.39842023168818
0.305,98.37561463023923
0.31,98.35722331936925
0.315,98.3711002482559
0.32,98.38554606209729
0.325,98.3832482971061
0.33,98.40245328783796
0.335,98.37634902069121
0.34,98.37264331769524
0.345,98.36005780250255
0.35,98.3507801709056
0.355,98.34144448366096
0.36,98.322599203509
0.365,98.3353571071357
0.37,98.31828648172794
0.375,98.31828648172794
0.38,98.31828648172794
0.385,98.32236408900086
0.39,98.32318878501333
0.395,98.31312900245884
0.4,98.33390796058139
0.405,98.32309032214151
0.41,98.29496819312679
0.415,98.27925359275528
0.42,98.27801883043742
0.425,98.2591260281974
0.43,98.24581702965196
0.435,98.2419221887477
0.44,98.23771304043237
0.445,98.24709105535838
0.45,98.24185105869947
0.455,98.23912424724818
0.46,98.23963633357882
0.465,98.2293554632383
0.47,98.2754031908467
0.475,98.23810267244572
0.48,98.23023603954621
0.485,98.2265016443873
0.49,98.2222870274376
0.495,98.22158281139751
0.5,98.2243171527145
0.505,98.22219414344198
0.51,98.22341131785352
0.515,98.2143135328182
0.52,98.19198715887542
0.525,98.19348363829965
0.53,98.17221901519432
0.535,98.15449995048525
0.54,98.15342906696074
0.545,98.13215026673507
0.55,98.14929109146527
0.555,98.16892835555981
0.56,98.1825638339694
0.565,98.1624152725759
0.57,98.12621506905863
0.575,98.10849958310169
0.58,98.169204835285
0.585,98.14793939329225
0.59,98.15482048472404
0.595,98.17164313150845
0.6,98.16333142639144
0.605,98.16208117213695
0.61,98.16757233003558
0.615,98.1627674822544
0.62,98.13990291109607
0.625,98.13588339455058
0.63,98.13779797973376
0.635,98.12454222072586
0.64,98.13264597504893
0.645,98.16440434676741
0.65,98.17658580760984
0.655,98.18131939284494
0.66,98.18563491972088
0.665,98.16406736287199
0.67,98.17624439762906
0.675,98.15088971870065
0.68,98.14682957019363
0.685,98.13297058811355
0.69,98.11456412970949
0.695,98.10025068762614
0.7,98.10532577419357
0.705,98.11036682954295
0.71,98.09502342696803
0.715,98.1117805843693
0.72,98.1117805843693
0.725,98.12449088726383
0.73,98.12227555266752
0.735,98.12741076968263
0.74,98.15092582010581
0.745,98.11294228361663
0.75,98.1215735501138
0.755,98.0950211607681
0.76,98.10731417498138
0.765,98.13239319252706
0.77,98.1451596950636
0.775,98.11247625209396
0.78,98.10002288323528
0.785,98.0859592302265
0.79,98.09886348958456
0.795,98.09156503948778
0.8,98.07596229786563
0.805,98.06593357061827
0.81,98.06311151418096
0.815,98.07078015289686
0.82,98.10705089662952
0.825,98.11187328595287
0.83,98.09635252621908
0.835,98.09635252621908
0.84,98.07703296575295
0.845,98.0521544966183
0.85,98.04657771452233
0.855,98.04661338863161
0.86,98.04767985741633
0.865,98.05636599939179
0.87,98.10499750249687
0.875,98.1021751765077
0.88,98.10214100354655
0.885,98.09769774657923
0.89,98.08941229813166
0.895,98.09262840262903
0.9,98.07629851033911
0.905,98.07632641287736
0.91,98.06639391349627
0.915,98.08202188422858
0.92,98.07786722897866
0.925,98.05937952691725
0.93,98.06344095650529
0.935,98.06344095650529
0.94,98.05326343075716
0.945,98.05539776371414
0.95,98.0558787865845
0.955,98.09220546158645
0.96,98.06460024547937
0.965,98.04553368324825
0.97,98.02444657137957
0.975,98.02752091373338
0.98,98.02671409580492
0.985,98.01720202439971
0.99,98.01720202439971
0.995,98.01720202439971
1.0,98.00414166776939
1.005,98.01227606122063
1.01,98.00001647444223
1.015,97.99456243291166
1.02,97.95593307049873
1.025,97.97305796483289
1.03,97.95038024720162
1.035,98.00932749586536
1.04,98.01612126808782
1.045,97.99617440162987
1.05,97.95158326780523
1.055,97.95098902039243
1.06,97.94741115959334
1.065,97.97810213841277
1.07,97.99874988372093
1.075,97.96921986563078
1.08,97.97215521148618
1.085,97.96377281687613
1.09,97.98660994953045
1.095,97.92602654603961
1.1,97.94613004491698
1.105,97.93985632035604
1.11,97.91616824373342
1.115,97.90939628093206
1.12,97.91560427306933
1.125,97.89137117580006
1.13,97.85453572420799
1.135,97.87270724867068
1.14,97.85046015029269
1.145,97.82408105102894
1.15,97.81936225191842
1.155,97.77555122698239
1.16,97.7432967114195
1.165,97.74182888218891
1.17,97.69868514416694
1.175,97.7071619885774
1.18,97.70064932327138
1.185,97.6731793971136
1.19,97.60518584133568
1.195,97.60677123550772
1.2,97.60378425060405
1.205,97.60806693683567
1.21,97.58391537831513
1.215,97.57133195870493
1.22,97.5471216445258
1.225,97.53420315372799
1.23,97.48809590352164
1.235,97.51073453459622
1.24,97.48679912496308
1.245,97.48253619315392
1.25,97.5099214972124
1.255,97.51577509929085
1.26,97.5250936937074
1.265,97.50932974796929
1.27,97.51578350240914
1.275,97.52365149746595
1.28,97.49415507140934
1.285,97.47798131054746
1.29,97.47089178393104
1.295,97.44065140432414
1.3,97.43597869927183
1.305,97.41966215573544
1.31,97.39133509595077
1.315,97.36022172676482
1.32,97.35336411766698
1.325,97.34106704408234
1.33,97.35045304556493
1.335,97.3361446871098
1.34,97.32338316509156
