Time,Healthy,Undetectable,Detectable
0,999,1,0
1,999,1,0
2,999,1,0
3,999,1,0
4,998,2,0
5,998,2,0
6,998,2,0
7,996,4,0
8,995,5,0
9,995,5,0
10,994,6,0
11,992,8,0
12,992,8,0
13,992,8,0
14,992,8,0
15,990,10,0
16,988,12,0
17,986,14,0
18,984,16,0
19,983,17,0
20,981,19,0
21,980,20,0
22,979,21,0
23,978,22,0
24,977,22,1
25,975,24,1
26,974,25,1
27,973,26,1
28,971,28,1
29,967,32,1
30,965,34,1
31,963,36,1
32,963,36,1
33,960,39,1
34,953,46,1
35,949,50,1
36,948,51,1
37,945,54,1
38,941,58,1
39,936,63,1
40,934,65,1
41,932,67,1
42,928,71,1
43,923,76,1
44,918,81,1
45,910,88,2
46,907,91,2
47,905,93,2
48,900,98,2
49,894,104,2
50,889,109,2
51,882,116,2
52,876,122,2
53,868,130,2
54,861,137,2
55,855,142,3
56,849,148,3
57,840,157,3
58,833,164,3
59,825,172,3
60,815,182,3
